p1        	p2       	p3_1      	p3_2     	O            	D_12	D_1	D_2	Z_12	Z_1	Z_2	BABBA	ABBBA	BABAA	ABBAA	BAABA	ABABA	nloci	pdisc	notes
[CUVN10]  	[CUSV6]  	[MXSA3017]	[CRL0030]	[AR,EN,DO,DU]	-0.074	-0.050	-0.050	2.69	0.98	1.02	671.86	578.86	176.95	160.03	243.07	220.09	9319	0.19	
[CUVN10]  	[CUSV6]  	[MXSA3017]	[CRL0001]	[AR,EN,DO,DU]	-0.085	-0.095	-0.096	2.84	1.90	2.13	680.51	574.36	176.09	145.63	239.17	197.40	9717	0.18	
[CUVN10]  	[CUSV6]  	[MXSA3017]	[HNDA09] 	[AR,EN,DO,DU]	-0.113	-0.028	-0.124	3.89	0.61	2.92	740.65	590.24	177.10	167.29	262.60	204.72	10370	0.18	
[CUVN10]  	[CUSV6]  	[MXSA3017]	[BZBB1]  	[AR,EN,DO,DU]	-0.075	-0.125	-0.025	2.53	2.36	0.42	594.45	511.23	195.67	152.08	184.59	175.65	8941	0.17	
[MXSA3017]	[CRL0030]	[CUVN10]  	[CUSV6]  	[AR,EN,DO,DU]	0.184	0.159	0.158	6.06	3.70	2.98	369.46	536.11	176.40	243.08	159.47	219.49	9319	0.16	
[MXSA3017]	[CRL0001]	[CUVN10]  	[CUSV6]  	[AR,EN,DO,DU]	0.152	0.149	0.152	4.39	3.15	3.30	381.45	518.41	176.79	238.91	145.64	197.88	9717	0.15	
[MXSA3017]	[HNDA09] 	[CUVN10]  	[CUSV6]  	[AR,EN,DO,DU]	0.193	0.200	0.102	6.91	4.36	1.91	377.31	557.90	175.22	262.56	166.91	204.75	10370	0.16	
[MXSA3017]	[BZBB1]  	[CUVN10]  	[CUSV6]  	[AR,EN,DO,DU]	0.064	-0.032	0.068	1.95	0.58	1.22	371.16	421.82	196.51	184.23	152.18	174.30	8941	0.15	
