P1        	P2      	P3       	O            	D	std(D)	Z	BABA	ABBA	nloci	nboot	pdisc	notes
[BZBB1]   	[CUSV6] 	[FLCK216]	[AR,EN,DO,DU]	0.340	0.035	9.84	290.12	589.62	8844	200	0.12	test 9.37
[BZBB1]   	[CUSV6] 	[FLAB109]	[AR,EN,DO,DU]	0.373	0.028	13.37	375.00	821.00	11048	200	0.12	test 9.38
[BZBB1]   	[CUSV6] 	[FLWO6]  	[AR,EN,DO,DU]	0.316	0.034	9.34	345.88	665.88	9282	200	0.12	test 9.39
[BZBB1]   	[CUSV6] 	[FLSF54] 	[AR,EN,DO,DU]	0.391	0.031	12.69	362.25	827.75	10632	200	0.13	test 9.40
[BZBB1]   	[CUSV6] 	[FLCK18] 	[AR,EN,DO,DU]	0.325	0.039	8.30	315.62	619.88	9365	200	0.12	test 9.41
[BZBB1]   	[CUSV6] 	[LALC2]  	[AR,EN,DO,DU]	0.289	0.032	9.05	445.50	807.50	11836	200	0.12	test 9.42
[BZBB1]   	[CUSV6] 	[FLSF33] 	[AR,EN,DO,DU]	0.304	0.035	8.77	324.62	608.12	9261	200	0.12	test 9.43
[BZBB1]   	[CUSV6] 	[FLBA140]	[AR,EN,DO,DU]	0.289	0.030	9.50	439.12	795.88	10926	200	0.13	test 9.44
[BZBB1]   	[CUVN10]	[FLSF47] 	[AR,EN,DO,DU]	0.260	0.031	8.32	452.38	770.88	12454	200	0.12	test 9.45
[BZBB1]   	[CUVN10]	[FLMO62] 	[AR,EN,DO,DU]	0.177	0.035	5.08	453.00	648.25	12276	200	0.11	test 9.46
[BZBB1]   	[CUVN10]	[FLSA185]	[AR,EN,DO,DU]	0.211	0.036	5.82	362.25	556.25	9694	200	0.11	test 9.47
[BZBB1]   	[CUVN10]	[FLCK216]	[AR,EN,DO,DU]	0.282	0.031	8.95	368.75	658.25	10603	200	0.12	test 9.48
[BZBB1]   	[CUVN10]	[FLAB109]	[AR,EN,DO,DU]	0.275	0.031	8.85	520.88	915.88	13865	200	0.12	test 9.49
[BZBB1]   	[CUVN10]	[FLWO6]  	[AR,EN,DO,DU]	0.285	0.031	9.29	400.25	719.00	11730	200	0.11	test 9.50
[BZBB1]   	[CUVN10]	[FLSF54] 	[AR,EN,DO,DU]	0.257	0.030	8.51	541.25	916.25	13566	200	0.13	test 9.51
[BZBB1]   	[CUVN10]	[FLCK18] 	[AR,EN,DO,DU]	0.246	0.030	8.22	444.75	735.50	11865	200	0.12	test 9.52
[BZBB1]   	[CUVN10]	[LALC2]  	[AR,EN,DO,DU]	0.208	0.027	7.77	614.88	938.38	15088	200	0.12	test 9.53
[BZBB1]   	[CUVN10]	[FLSF33] 	[AR,EN,DO,DU]	0.234	0.031	7.68	446.12	718.88	11776	200	0.11	test 9.54
[BZBB1]   	[CUVN10]	[FLBA140]	[AR,EN,DO,DU]	0.214	0.029	7.29	592.00	914.25	13945	200	0.12	test 9.55
[BZBB1]   	[CUCA4] 	[FLSF47] 	[AR,EN,DO,DU]	0.400	0.036	11.21	219.88	512.88	7619	200	0.11	test 9.56
[BZBB1]   	[CUCA4] 	[FLMO62] 	[AR,EN,DO,DU]	0.313	0.039	7.99	230.50	440.50	7494	200	0.11	test 9.57
[BZBB1]   	[CUCA4] 	[FLSA185]	[AR,EN,DO,DU]	0.197	0.044	4.45	223.25	332.75	6216	200	0.10	test 9.58
[BZBB1]   	[CUCA4] 	[FLCK216]	[AR,EN,DO,DU]	0.333	0.039	8.60	212.62	424.62	6948	200	0.11	test 9.59
[BZBB1]   	[CUCA4] 	[FLAB109]	[AR,EN,DO,DU]	0.365	0.035	10.37	282.12	605.88	8539	200	0.12	test 9.60
[BZBB1]   	[CUCA4] 	[FLWO6]  	[AR,EN,DO,DU]	0.439	0.037	11.99	190.38	488.62	7246	200	0.11	test 9.61
[BZBB1]   	[CUCA4] 	[FLSF54] 	[AR,EN,DO,DU]	0.417	0.035	11.81	253.88	617.38	8088	200	0.13	test 9.62
[BZBB1]   	[CUCA4] 	[FLCK18] 	[AR,EN,DO,DU]	0.367	0.044	8.27	202.75	438.00	7340	200	0.10	test 9.63
[BZBB1]   	[CUCA4] 	[LALC2]  	[AR,EN,DO,DU]	0.237	0.039	6.14	338.00	547.50	9070	200	0.12	test 9.64
[BZBB1]   	[CUCA4] 	[FLSF33] 	[AR,EN,DO,DU]	0.263	0.044	6.02	249.88	428.62	7146	200	0.11	test 9.65
[BZBB1]   	[CUCA4] 	[FLBA140]	[AR,EN,DO,DU]	0.241	0.036	6.64	337.00	551.50	8341	200	0.12	test 9.66
[HNDA09]  	[CUSV6] 	[FLSF47] 	[AR,EN,DO,DU]	0.309	0.031	10.09	420.75	797.50	11482	200	0.12	test 9.67
[HNDA09]  	[CUSV6] 	[FLMO62] 	[AR,EN,DO,DU]	0.258	0.032	8.09	389.88	660.88	11294	200	0.11	test 9.68
[HNDA09]  	[CUSV6] 	[FLSA185]	[AR,EN,DO,DU]	0.179	0.043	4.12	356.62	512.12	9350	200	0.11	test 9.69
[HNDA09]  	[CUSV6] 	[FLCK216]	[AR,EN,DO,DU]	0.283	0.034	8.26	381.50	683.00	10403	200	0.12	test 9.70
[HNDA09]  	[CUSV6] 	[FLAB109]	[AR,EN,DO,DU]	0.338	0.028	12.28	491.12	992.38	13228	200	0.13	test 9.71
[HNDA09]  	[CUSV6] 	[FLWO6]  	[AR,EN,DO,DU]	0.358	0.029	12.23	374.12	790.88	10800	200	0.12	test 9.72
[HNDA09]  	[CUSV6] 	[FLSF54] 	[AR,EN,DO,DU]	0.360	0.026	13.69	461.50	981.25	12729	200	0.13	test 9.73
[HNDA09]  	[CUSV6] 	[FLCK18] 	[AR,EN,DO,DU]	0.347	0.034	10.17	382.50	789.50	10969	200	0.12	test 9.74
[HNDA09]  	[CUSV6] 	[LALC2]  	[AR,EN,DO,DU]	0.281	0.030	9.30	534.38	952.38	14010	200	0.12	test 9.75
[HNDA09]  	[CUSV6] 	[FLSF33] 	[AR,EN,DO,DU]	0.300	0.032	9.29	402.25	746.50	10839	200	0.12	test 9.76
[HNDA09]  	[CUSV6] 	[FLBA140]	[AR,EN,DO,DU]	0.264	0.028	9.27	541.25	928.75	13181	200	0.13	test 9.77
[HNDA09]  	[CUVN10]	[FLSF47] 	[AR,EN,DO,DU]	0.240	0.031	7.78	534.50	873.00	14521	200	0.12	test 9.78
[HNDA09]  	[CUVN10]	[FLMO62] 	[AR,EN,DO,DU]	0.187	0.033	5.66	526.38	768.38	14345	200	0.11	test 9.79
[HNDA09]  	[CUVN10]	[FLSA185]	[AR,EN,DO,DU]	0.200	0.032	6.25	410.38	615.62	11355	200	0.11	test 9.80
[HNDA09]  	[CUVN10]	[FLCK216]	[AR,EN,DO,DU]	0.253	0.029	8.60	438.50	735.75	12453	200	0.12	test 9.81
[HNDA09]  	[CUVN10]	[FLAB109]	[AR,EN,DO,DU]	0.293	0.029	9.98	619.12	1131.12	16565	200	0.12	test 9.82
[HNDA09]  	[CUVN10]	[FLWO6]  	[AR,EN,DO,DU]	0.295	0.028	10.64	468.25	861.00	13674	200	0.12	test 9.83
[HNDA09]  	[CUVN10]	[FLSF54] 	[AR,EN,DO,DU]	0.275	0.027	10.32	620.12	1090.62	16187	200	0.13	test 9.84
[HNDA09]  	[CUVN10]	[FLCK18] 	[AR,EN,DO,DU]	0.255	0.031	8.30	497.75	838.25	13878	200	0.11	test 9.85
[HNDA09]  	[CUVN10]	[LALC2]  	[AR,EN,DO,DU]	0.249	0.026	9.54	693.88	1153.38	17821	200	0.12	test 9.86
[HNDA09]  	[CUVN10]	[FLSF33] 	[AR,EN,DO,DU]	0.265	0.029	9.18	490.50	844.00	13765	200	0.11	test 9.87
[HNDA09]  	[CUVN10]	[FLBA140]	[AR,EN,DO,DU]	0.255	0.025	10.30	688.00	1157.75	16715	200	0.13	test 9.88
