P1      	P2     	P3        	O            	D	std(D)	Z	BABA	ABBA	nloci	nboot	pdisc	notes
[BJSL25]	[MXGT4]	[HNDA09]  	[AR,EN,DO,DU]	0.013	0.026	0.48	982.00	1007.00	17368	200	0.13	test 14.38
[BJSL25]	[MXGT4]	[CRL0001] 	[AR,EN,DO,DU]	0.022	0.028	0.79	865.62	904.38	16176	200	0.12	test 14.39
[BJSL25]	[MXGT4]	[CRL0030] 	[AR,EN,DO,DU]	-0.016	0.023	0.70	1159.38	1123.38	18638	200	0.13	test 14.40
[BJSB3] 	[TXMD3]	[MXSA3017]	[AR,EN,DO,DU]	0.143	0.031	4.59	601.50	801.50	12924	200	0.12	test 14.41
[BJSB3] 	[TXMD3]	[BZBB1]   	[AR,EN,DO,DU]	0.137	0.035	3.97	539.12	710.62	11632	200	0.12	test 14.42
[BJSB3] 	[TXMD3]	[HNDA09]  	[AR,EN,DO,DU]	0.092	0.029	3.17	670.88	807.12	13474	200	0.12	test 14.43
[BJSB3] 	[TXMD3]	[CRL0001] 	[AR,EN,DO,DU]	0.107	0.033	3.24	599.62	743.62	12544	200	0.11	test 14.44
[BJSB3] 	[TXMD3]	[CRL0030] 	[AR,EN,DO,DU]	0.075	0.031	2.45	665.75	773.25	12374	200	0.12	test 14.45
[BJSB3] 	[TXGR3]	[MXSA3017]	[AR,EN,DO,DU]	0.082	0.034	2.42	593.50	699.25	11792	200	0.12	test 14.46
[BJSB3] 	[TXGR3]	[BZBB1]   	[AR,EN,DO,DU]	0.056	0.032	1.72	538.38	602.12	10665	200	0.11	test 14.47
[BJSB3] 	[TXGR3]	[HNDA09]  	[AR,EN,DO,DU]	0.092	0.029	3.12	604.62	726.62	12325	200	0.11	test 14.48
[BJSB3] 	[TXGR3]	[CRL0001] 	[AR,EN,DO,DU]	0.092	0.031	2.96	551.62	663.12	11527	200	0.11	test 14.49
[BJSB3] 	[TXGR3]	[CRL0030] 	[AR,EN,DO,DU]	0.090	0.033	2.75	601.50	720.00	11334	200	0.12	test 14.50
[BJSB3] 	[MXED8]	[MXSA3017]	[AR,EN,DO,DU]	0.165	0.026	6.28	663.75	926.75	13743	200	0.13	test 14.51
[BJSB3] 	[MXED8]	[BZBB1]   	[AR,EN,DO,DU]	0.201	0.030	6.71	570.25	857.25	12333	200	0.13	test 14.52
[BJSB3] 	[MXED8]	[HNDA09]  	[AR,EN,DO,DU]	0.164	0.030	5.48	710.00	989.25	14384	200	0.13	test 14.53
[BJSB3] 	[MXED8]	[CRL0001] 	[AR,EN,DO,DU]	0.190	0.030	6.39	620.50	910.75	13356	200	0.12	test 14.54
[BJSB3] 	[MXED8]	[CRL0030] 	[AR,EN,DO,DU]	0.147	0.030	4.95	718.88	966.88	13369	200	0.14	test 14.55
[BJSB3] 	[MXGT4]	[MXSA3017]	[AR,EN,DO,DU]	0.082	0.034	2.44	681.62	803.12	14270	200	0.12	test 14.56
[BJSB3] 	[MXGT4]	[BZBB1]   	[AR,EN,DO,DU]	0.057	0.035	1.60	617.50	691.50	12729	200	0.11	test 14.57
[BJSB3] 	[MXGT4]	[HNDA09]  	[AR,EN,DO,DU]	0.027	0.027	1.01	760.00	802.25	14944	200	0.12	test 14.58
[BJSB3] 	[MXGT4]	[CRL0001] 	[AR,EN,DO,DU]	0.050	0.029	1.73	671.62	742.38	13923	200	0.11	test 14.59
[BJSB3] 	[MXGT4]	[CRL0030] 	[AR,EN,DO,DU]	0.051	0.031	1.63	764.62	846.62	14401	200	0.12	test 14.60
